"","school","logo"
"205","Ferrum","http://a.espncdn.com/i/teamlogos/ncaa/500/366.png"
"206","Findlay","http://a.espncdn.com/i/teamlogos/ncaa/500/2224.png"
"207","Fitchburg State","http://a.espncdn.com/i/teamlogos/ncaa/500/114.png"
"208","Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"209","Florida A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/50.png"
"210","Florida Atlantic","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
"211","Florida International","http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png"
"212","Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png"
"213","Florida Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/53.png"
"214","Fordham","http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png"
"215","Fort Hays State","http://a.espncdn.com/i/teamlogos/ncaa/500/2231.png"
"216","Fort Lewis","http://a.espncdn.com/i/teamlogos/ncaa/500/2237.png"
"217","Fort Valley State","http://a.espncdn.com/i/teamlogos/ncaa/500/2232.png"
"218","Framingham State","http://a.espncdn.com/i/teamlogos/ncaa/500/2967.png"
"219","Franklin","http://a.espncdn.com/i/teamlogos/ncaa/500/2233.png"
"220","Franklin & Marshall","http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png"
"221","Fresno State","http://a.espncdn.com/i/teamlogos/ncaa/500/278.png"
"222","Frostburg State","http://a.espncdn.com/i/teamlogos/ncaa/500/341.png"
"223","Furman","http://a.espncdn.com/i/teamlogos/ncaa/500/231.png"
"224","Gallaudet","http://a.espncdn.com/i/teamlogos/ncaa/500/417.png"
"225","Gannon","http://a.espncdn.com/i/teamlogos/ncaa/500/367.png"
"226","Gardner-Webb","http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png"
"227","Geneva College","http://a.espncdn.com/i/teamlogos/ncaa/500/2242.png"
"228","George Fox University","http://a.espncdn.com/i/teamlogos/ncaa/500/415.png"
"229","George Mason","http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png"
"230","Georgetown","http://a.espncdn.com/i/teamlogos/ncaa/500/46.png"
"231","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"232","Georgia Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/290.png"
"233","Georgia State","http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png"
"234","Georgia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png"
"235","Gettysburg","http://a.espncdn.com/i/teamlogos/ncaa/500/2248.png"
"236","Glenville State","http://a.espncdn.com/i/teamlogos/ncaa/500/2249.png"
"237","Graceland University","http://a.espncdn.com/i/teamlogos/ncaa/500/530.png"
"238","Grambling","http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png"
"239","Grand Valley State","http://a.espncdn.com/i/teamlogos/ncaa/500/125.png"
"240","Greensboro","http://a.espncdn.com/i/teamlogos/ncaa/500/2256.png"
"241","Greenville","http://a.espncdn.com/i/teamlogos/ncaa/500/2257.png"
"242","Grinnell","http://a.espncdn.com/i/teamlogos/ncaa/500/65.png"
"243","Grove City College","http://a.espncdn.com/i/teamlogos/ncaa/500/146.png"
"244","Guilford","http://a.espncdn.com/i/teamlogos/ncaa/500/2258.png"
"245","Gustavus Adolphus","http://a.espncdn.com/i/teamlogos/ncaa/500/2968.png"
"246","Hamilton","http://a.espncdn.com/i/teamlogos/ncaa/500/348.png"
"247","Hamline","http://a.espncdn.com/i/teamlogos/ncaa/500/162.png"
"248","Hampden-Sydney","http://a.espncdn.com/i/teamlogos/ncaa/500/297.png"
"249","Hampton","http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png"
"250","Hanover","http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png"
"251","Harding","http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png"
"252","Hardin-Simmons","http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png"
"253","Hartwick","http://a.espncdn.com/i/teamlogos/ncaa/500/173.png"
"254","Harvard","http://a.espncdn.com/i/teamlogos/ncaa/500/108.png"
"255","Haskell Indian Nations","http://a.espncdn.com/i/teamlogos/ncaa/500/535.png"
"256","Hawai'i","http://a.espncdn.com/i/teamlogos/ncaa/500/62.png"
"257","Heidelberg","http://a.espncdn.com/i/teamlogos/ncaa/500/191.png"
"258","Henderson State","http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png"
"259","Hendrix College","http://a.espncdn.com/i/teamlogos/ncaa/500/418.png"
"260","Hillsdale","http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png"
"261","Hiram","http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png"
"262","Hobart","http://a.espncdn.com/i/teamlogos/ncaa/500/174.png"
"263","Holland College",""
"264","Holy Cross","http://a.espncdn.com/i/teamlogos/ncaa/500/107.png"
"265","Hope","http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png"
"266","Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png"
"267","Houston Baptist","http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png"
"268","Howard","http://a.espncdn.com/i/teamlogos/ncaa/500/47.png"
"269","Howard Payne","http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png"
"270","Humboldt State","http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png"
"271","Huntingdon","http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png"
